folder,file_count
"Abbott Lawrence Pattison","1"
"Joseph Kersey","1"
"Albert Zahn","1"
"Hector Whittington","1"
"Johannes Sophus Gelert","1"
"Emil Zettler","1"
"Huastec","1"
"Cheyenne","1"
"Leonard Farb","1"
"Kay WalkingStick","1"
"Rebecca Salsbury James","1"
"Julie Hart Beers","1"
"Rhonda Holy Bear, Wakah Wayuphika Win, Making with Exceptional Skills Woman","1"
"Abastenia St. Leger Eberle","1"
"Kevin and Valerie Pourier","1"
"Lilla Cabot Perry","1"
"Jordan Ann Craig","1"
"Anna Keeney","1"
"Marcello Venusti","1"
"Francesco Traballesi","1"
"Anthonie Blocklandt","1"
"Cornelis de Zeeuw","1"
"Francesco Montemezzano","1"
"Ludovico Carracci","1"
"Isaac Claesz. van Swanenburg","1"
"Jacob Bunel","1"
"Karel van Mander","1"
"Hendrik de Clerck, Denis van Alsloot","1"
"Willem Cornelisz Duyster, anonymous","1"
"Claude de Jongh","1"
"Cornelis Bol","1"
"Jacob Marrel","1"
"Monogrammist DB","1"
"Pieter Stalpaert","1"
"Paulus Bor, Cornelis Hendriksz Vroom","1"
"Jan Wildens","1"
"Bartholomäus Dietterlin","1"
"Jan Brueghel, the elder","1"
"Austrian","1"
"Nicolaus Gerhaert","1"
"Hendrick van Steenwijck, the Younger","1"
"Master of the Historia Friderici et Maximiliani","1"
"Henri Leopold Lévy","1"
"Louise Moillon","1"
"Neapolitan","1"
"Workshop of Paolo Veronese","1"
"Jean Baptiste Regnault","1"
"Master of the Bigallo Crucifix","1"
"Belgian","1"
"Eva Gonzalès","1"
"Antonio Maria Esquivel","1"
"Karel van der Pluym","1"
"Hendrick Terbrugghen","1"
"Giovanni Maria Benzoni","1"
"Girolamo da Carpi","1"
"Circle of Agnolo Bronzino","1"
"After Jacopo Bassano","1"
"Paolo Veneziano","1"
"David Bates","1"
"Bernardo Bellotto","1"
"Charles Louis-Lucien Muller","1"
"Jacques Emile Blanche","1"
"Cretan","1"
"Pierre Paul Prud'hon","1"
"Francesco Antommarchi","1"
"William Powell Frith","1"
"Workshop of Andrea della Robbia","1"
"Stefano Pozzi","1"
"Master of the Freising Visitation","1"
"Charles Emile Champmartin","1"
"Felice Ficherelli","1"
"Marco Marcola","1"
"Follower of Peter Paul Rubens","1"
"Marcellus Coffermans","1"
"Johann Koerbecke","1"
"Hans Maler","1"
"Vincenzo Frediani","1"
"Antonin Mercié","1"
"Baron Antoine Jean Gros","1"
"Monogrammist PG","1"
"Frans Pourbus, the Younger","1"
"Georges Lemmen","1"
"Jules Robert Auguste","1"
"Style of John Constable","1"
"Hans Eworth","1"
"Alessandro Longhi","1"
"François Rude","1"
"Albert Schindler","1"
"Bartolomé Bermejo","1"
"Michele Giovanni Marieschi","1"
"Follower of Simon Vouet","1"
"Jean Baptiste Armand Guillaumin","1"
"Francescuccio Ghissi","1"
"Spagna, Lo","1"
"Martin Rico y Ortega","1"
"Andrés López Polanco","1"
"Follower of the Master of Saint Veronica","1"
"Johann Gottfried Schadow","1"
"Workshop of Joos van Cleve","1"
"Follower of François Clouet","1"
"Giovanni Balducci","1"
"Louis Anquetin","1"
"Circle of Donatello","1"
"Filippo Parodi","1"
"Follower of Antonis Mor","1"
"Domenico Gargiuli","1"
"Giovanni di Fondulis","1"
"Pascal-Adolphe-Jean Dagnan-Bouveret","1"
"Johann Friedrich August Tischbein","1"
"Léon Augustin Lhermitte","1"
"Pieter Gerritsz. van Roestraeten","1"
"Workshop of Girolamo Campagna","1"
"Giovanni Battista Caccini","1"
"Pierre Jean David d'Angers","1"
"Don Francisco Bayeu y Subías","1"
"John Deare","1"
"Ernest Christian Frederik Petzholdt","1"
"Axeli Gallen-Kallela","1"
"Adrian Ludwig  Richter","1"
"Antonio Vivarini","1"
"Giulio Cesare Procaccini","1"
"Workshop of Frans Hals","1"
"After Eugène Isabey","1"
"William Newenham Montague Orpen","1"
"John Ramage","1"
"Eugene Speicher","1"
"George Gardner Symons","1"
"William A. Mitchell","1"
"Samuel Jones","1"
"Carducius Plantagenet Ream","1"
"Oliver Dennett Grover","1"
"Henry Benbridge","1"
"William Turner Dannat","1"
"Julio de Diego","1"
"Olga Chassaing","1"
"Edward Lamson Henry","1"
"Anna Claypoole Peale","1"
"Charles Alfred Meurer","1"
"Charles Prendergast","1"
"Rudolph F. Ingerle","1"
"Allan Clark","1"
"James P. Johnson ONN-ISS-KWAH","1"
"George Hendrik Breitner","1"
"Monogrammist JVR","1"
"Jacob Isaacsz. van Swanenburg","1"
