folder,file_count
"claes-jacobsz-van-der-heck","1"
"claes-jansz-visscher","1"
"claes-moeyaert","1"
"claes-oldenburg","1"
"claes-van-beresteyn","1"
"claire-wiley","1"
"clara-peeters","1"
"clarence-holbrook-carter-american-1904-2000","1"
"claude-de-jongh","1"
"claude-deruet","1"
"claude-joseph-vernet","1"
"claude-joseph-vernet-french-1714-1789","1"
"claude-lorrain","1"
"claude-lorrain-french-1604-1682","1"
"claude-mellan","1"
"claude-monet","1"
"claude-monet-french-1840-1926","1"
"claude-vignon","1"
"claudio-stickar","1"
"claus-sluter","1"
"clement-jayet","1"
"clinton-adams","1"
"clodion","1"
"clodion-claude-michel","1"
"c-l-woodhouse-american","1"
"clyfford-still","1"
"coco-schoenberg","1"
"col-gary-n-cassidy","1"
"colijn-de-coter","1"
"colima","1"
"columbano-bordalo-pinheiro","1"
"colyn-de-coter","1"
"compagnie-des-bronzes","1"
"conrad-faber","1"
"constant","1"
"constantin-emile-meunier","1"
"constant-mayer","1"
"constant-troyon","1"
"corneille-de-la-haye-named-de-lyon","1"
"corneille-de-lyon","1"
"cornelia-toe-boecop","1"
"cornelis-beelt","1"
"cornelis-bellekin","1"
"cornelis-bisschop","1"
"cornelis-bol","1"
"cornelis-brise","1"
"cornelis-claesz-van-wieringen","1"
"cornelis-cornelisz-ii-buys","1"
"cornelis-cornelisz-van-haarlem","1"
"cornelis-de-beet","1"
"cornelis-de-bie","1"
"cornelis-de-man","1"
"cornelis-de-zeeuw","1"
"cornelis-droochsloot","1"
"cornelis-dusart","1"
"cornelis-engebrechtsz","1"
"cornelis-engelsz","1"
"cornelis-floris-ii","1"
"cornelis-gerritsz-decker","1"
"cornelis-i-bloemaert","1"
"cornelis-jacobsz-delff","1"
"cornelis-janssens-van-ceulen-i","1"
"cornelis-janssens-van-ceulen-ii","1"
"cornelis-jonson-called-jonson-van-ceulen-british-1593-1661","1"
"cornelis-ketel","1"
"cornelis-lelienbergh","1"
"cornelis-massijs","1"
"cornelis-pietersz-bega","1"
"cornelis-ploos-van-amstel","1"
"cornelis-saftleven","1"
"cornelis-van-dalem","1"
"cornelis-van-der-voort","1"
"cornelis-van-poelenburch","1"
"cornelis-van-zwieten","1"
"cornelius-christoffels","1"
"cosimo-rosselli","1"
"cosmo-alexander","1"
"craigie-aitchison-ra","1"
"c-raja-raja-varma","1"
"cretan","1"
"crispijn-van-de-passe-i","1"
"cristoforo-solari","1"
"cristoforo-stati","1"
"cyril-coetzee","1"
"dai-jin-chinese-1388-1462","1"
"dai-xi-chinese-1801-1860","1"
"dan-flavin","1"
"daniel-boone","1"
"daniel-chester-french","1"
"daniel-de-blieck","1"
"daniele-milvio","1"
"daniel-freeman","1"
"daniel-garber","1"
"daniel-haringh","1"
"daniel-huntington-american-1816-1906","1"
"daniel-lannes","1"
"daniel-marot-i","1"
"daniel-mignot","1"
"daniel-mijtens-ii","1"
"daniel-muller","1"
"daniel-nikolaus-chodowiecki","1"
"daniel-thivart","1"
"daniel-vertangen","1"
"dante-gabriel-rossetti","1"
"daria-sywulak","1"
"dario-de-regoyos","1"
"dasavanta-indian","1"
"dasavanta-indian-d-1584","1"
"david-alfaro-siqueiros","1"
"david-aronson","1"
"david-bailly","1"
"david-bates","1"
"david-colijns","1"
"david-dalhoff-neal","1"
"david-davidsz-de-heem","1"
"david-ehrenstrahl","1"
"david-gilmour-blythe","1"
"david-hockney","1"
"david-ian-cranko","1"
"david-johnson-american-1827-1908","1"
"david-roberts","1"
"david-ryckaert-iii","1"
"david-seymour","1"
"david-teniers-flemish-1610-1690","1"
"david-teniers-ii","1"
"david-teniers-the-younger","1"
"david-van-der-plas","1"
"david-vinckboons","1"
"de-bije","1"
"defendente-ferrari","1"
"delphin-enjolras","1"
"deme-yukan-mitsuyasu","1"
"de-nole-workshop-sebastiaan-de-neve","1"
"denys-calvaert","1"
"de-scott-evans","1"
"desiderio-da-settignano","1"
"devachandra-indian","1"
"diana-walker","1"
"diego-de-pesquera","1"
