constituentid,name,image_count
1734,"Mrs. Louis Lozowick",95
23135,"Lawrence J. Hamlin",95
30367,"Vintage Works, Ltd.",95
39252,"Richard Gordon",95
8561,"Galerie Georges Petit",94
55,"Private Collection c/o Josefowitz",94
11117,"Albertina",93
52045,"Fritz Rumpf",93
532,"Mr. and Mrs. Marvin Schwartz",93
6024,"Philip Pearlstein",93
6032,"Ansel Adams",93
23748,"Susan Schulman",93
12449,"Lannan Foundation",93
23032,"Mrs. Betsy Karel",93
25844,"National Aeronautics and Space Administration",93
30907,"Catherine Brooks",93
36210,"Clare Calder",93
5010,"Balthasar Moncornet",92
1305,"Mr. Ivan E. Phillips",92
6936,"John Cage",92
20421,"Robert Hershkowitz, Ltd.",92
26672,"Harris T. Schrank Fine Prints",92
24610,"Nathan Lerner",92
10169,"Sale, Paris",91
195,"Miss Ellen T. Bullard",91
15256,"Mrs. Ann Solomon",91
39144,"Rosalind Solomon",91
52662,"Sandra Phillips",91
1179,"Lucas Cranach the Elder",90
2251,"Auguste Rodin",90
2969,"Will Barnet",90
7217,"Ralph Atkinson",90
7655,"Melita Hofmann",90
1581,"Hazlitt, Gooden & Fox Ltd.",90
588,"Mrs. Walter Tittle",90
275,"Ms. Enriqueta Frankfort",90
1041,"Mr. and Mrs. John Davis Hatch",90
13961,"National Gallery of Art Library, Department of Image Collections",90
51999,"Jeannette Miller",90
7402,"Nancy Crimi",89
6043,"Francesco Clemente",89
43872,"Philip Brookman",89
2831,"French 18th Century",88
3891,"Adolf Dehn",88
5239,"Cornelis Ploos van Amstel",88
7966,"Ray Price",88
775,"Mr. and Mrs. Jem Hom",88
22425,"Sims Reed Limited",88
35165,"American Artists Group",88
2826,"British 19th Century",87
19861,"Sir Edward Astley 4th Baron, Hastings",87
940,"George Bellows",87
570,"Howard Sturges",87
2108,"Niccolò Fiorentino",87
9944,"Marguerite-Charlotte David",87
218,"Mr. and Mrs. Ralph F. Colin",87
946,"Mrs. John Farr Simmons",87
6670,"Walter Gramatté",87
38222,"Dr. John Zwetchkenbaum",87
48129,"Thomas Roma",87
7463,"Hester Duany",86
1130,"Peter H. Deitsch",86
3873,"Donald Carlisle Greason",86
19013,"Robert Kushner",86
26421,"Mr. and Mrs. Bernard Greenberg",86
51811,"James McCracken Jr.",86
2604,"Maxime Lalanne",85
7358,"Lillian Causey",85
7408,"Al Curry",85
7648,"Helmut Hiatt",85
1832,"Hubert Robert",85
5836,"Kenneth Tyler",85
30940,"Richard Wilke",85
13318,"Aaron Siskind",85
16048,"Charles Sprague Pearce",85
35182,"Federal Art Project (Minnesota)",85
8293,"Italian 15th Century",84
7719,"William Kieckhofel",84
8139,"Edith Towner",84
5382,"James Rosenquist",84
604,"Mr. Robert M. Walker",84
11452,"Gertrude Laughlin Chanler",84
9676,"Mrs. Vladimir Feltsman",84
2553,"Francis Seymour Haden",83
12810,"A.S.W. Rosenbach Gallery",83
10727,"Jeff Wasserman",83
1823,"Auguste Renoir",82
2832,"French 19th Century",82
3793,"Adriaen Collaert",82
11087,"Lou Stovall",82
